Số thứ tự (No.),Mã Epic (Epic ID),Tên Epic (Epic Name),Mã User Story (Story ID),Tên User Story (Story Title),User Story,Vai trò (Role),Giá trị nghiệp vụ (Business Value),Mô tả chi tiết (Description),Điều kiện bắt đầu (Precondition),Kết quả sau hoàn thành (Postcondition),Quy tắc liên quan (Business Rule),Độ ưu tiên (Priority),Story Point,Phụ thuộc vào (Dependency),Người phụ trách đề xuất (Assignee),Trạng thái (Status),Ghi chú (Notes)
76,NCL-06,Quản lý dọn phòng,NCL-06-CN-004,Phân công phòng cần dọn cho nhân viên buồng phòng,"Là Lễ tân, tôi muốn phân công từng phòng cần dọn cho một nhân viên buồng phòng cụ thể, để biết ai chịu trách nhiệm phòng nào và tránh cảnh phòng bị bỏ sót hoặc hai người cùng dọn một phòng.",Lễ tân,"Biến danh sách phòng cần dọn từ một bảng chung thành phần việc có chủ, giúp chủ cơ sở biết phòng nào đang chờ ai và cân được khối lượng việc giữa các nhân viên.","Từ danh sách phòng cần dọn, lễ tân hoặc chủ cơ sở chọn một phòng rồi gán cho một tài khoản có vai trò Nhân viên buồng phòng đang hoạt động, kèm mức ưu tiên gợi ý theo giờ nhận phòng của khách kế tiếp trong ngày. Nhân viên buồng phòng khi đăng nhập chỉ thấy phần phòng được phân công cho mình và phần chưa ai phụ trách, không thấy phần của người khác. Một phòng chỉ có một người phụ trách tại một thời điểm, muốn chuyển sang người khác thì phải gỡ phân công cũ rồi gán lại chứ không gán chồng. Không cho phân công phòng đang khóa bảo trì hoặc phòng đang có khách lưu trú vì hai trạng thái này không nằm trong chu trình dọn. Màn hình hiển thị số phòng đang giao cho từng nhân viên để người phân công nhìn thấy sự mất cân đối. Mọi lần phân công và gỡ phân công đều ghi nhật ký kèm người thao tác và thời điểm.",Có ít nhất một phòng ở trạng thái cần dọn và có ít nhất một tài khoản vai trò Nhân viên buồng phòng đang hoạt động.,"Mỗi phòng cần dọn có một người phụ trách rõ ràng, nhân viên buồng phòng nhìn thấy đúng phần việc của mình và nhật ký lưu vết lần phân công.","QTN-05, QTN-09, QTN-10",Quan trọng,,"NCL-06-CN-001, NCL-01-CN-002",Thành viên hai,Đã hoàn thành,
77,NCL-11,"Tiền đặt cọc, phí hủy và hoàn tiền",NCL-11-CN-007,Danh sách khoản cọc chưa quyết toán,"Là Kế toán, tôi muốn xem danh sách các khoản cọc chưa quyết toán kèm số ngày đang treo, để không khoản tiền nào của khách bị bỏ quên trên sổ khi kết thúc kỳ.",Kế toán,"Đóng đúng điều kiện hoàn thành của Epic NCL-11, vốn yêu cầu mọi khoản cọc phải kết thúc ở một trong ba trạng thái. Không có màn hình này thì không ai biết khoản nào còn treo.","Hệ thống liệt kê mọi khoản cọc chưa kết thúc ở một trong ba trạng thái đã trừ vào hóa đơn, đã hoàn cho khách, hoặc đã chuyển thành phí phạt. Mỗi dòng hiển thị mã đặt phòng, tên khách, số tiền cọc, ngày thu cọc, ngày nhận phòng dự kiến, trạng thái đặt phòng hiện tại và số ngày khoản cọc đã treo. Danh sách cho lọc theo khoảng ngày thu cọc, theo trạng thái đặt phòng và theo mức tiền, và cho sắp xếp theo số ngày treo giảm dần để phần việc cấp bách nổi lên trước. Khoản cọc gắn với đặt phòng đã trả phòng hoặc đã hủy mà vẫn treo quá bảy ngày được đánh dấu cần xử lý gấp. Từ mỗi dòng, kế toán mở thẳng sang đặt phòng tương ứng để thực hiện trừ cọc vào hóa đơn hoặc ghi nhận hoàn tiền. Màn hình này chỉ đọc, không tự thay đổi trạng thái khoản cọc. Lễ tân không xem được bảng tổng hợp cọc toàn cơ sở, chỉ Kế toán và Chủ cơ sở được xem.",Epic tiền đặt cọc đã vận hành và có ít nhất một khoản cọc được ghi nhận trong hệ thống.,Kế toán nhìn thấy toàn bộ khoản cọc còn treo kèm số ngày treo và mở được thẳng sang đặt phòng để xử lý dứt điểm.,"QTN-18, QTN-19, QTN-20, QTN-09",Bắt buộc,,"NCL-11-CN-003, NCL-11-CN-005, NCL-11-CN-006",Thành viên ba,Chưa thực hiện,
78,NCL-07,Báo cáo công suất và doanh thu,NCL-07-CN-006,Bổ sung phí hủy và tiền cọc chuyển phạt vào báo cáo doanh thu,"Là Chủ cơ sở, tôi muốn báo cáo doanh thu tính cả phí hủy và tiền cọc chuyển thành phí phạt, để con số doanh thu phản ánh đúng số tiền cơ sở thực sự giữ được chứ không chỉ tiền phòng và dịch vụ.",Chủ cơ sở,"Giữ cho báo cáo doanh thu vẫn đúng sau khi epic tiền đặt cọc đi vào vận hành, tránh tình trạng số liệu báo cáo thấp hơn thực tế và dẫn tới quyết định giá sai.","Báo cáo doanh thu hiện chỉ tổng hợp từ hóa đơn lưu trú. Khi epic tiền đặt cọc vận hành, cơ sở phát sinh thêm hai nguồn thu là phần phí hủy giữ lại theo QTN-19 và phần cọc chuyển thành phí phạt khi khách không đến theo QTN-20. Bổ sung hai cột nguồn thu này vào báo cáo doanh thu, cho xem tách riêng và cộng vào dòng tổng, kèm một bộ lọc bật tắt để chủ cơ sở so sánh doanh thu lưu trú thuần với tổng thu. Phí hủy được ghi nhận vào ngày hủy đặt phòng, tiền cọc phạt được ghi nhận vào ngày đánh dấu khách không đến, không ghi theo ngày nhận phòng dự kiến. Phần cọc đã hoàn lại cho khách tuyệt đối không được tính vào doanh thu. Trường hợp Chủ cơ sở dùng quyền ngoại lệ trong QTN-20 để hoàn lại một phần cọc phạt thì báo cáo chỉ lấy số thực giữ lại. Số liệu của hai cột mới phải khớp với các khoản cọc đã quyết toán trong cùng kỳ ở màn hình NCL-11-CN-007, và phải xuất được ra tệp cùng báo cáo doanh thu hiện có.",Báo cáo doanh thu đang chạy và đã có ít nhất một khoản phí hủy hoặc một khoản cọc chuyển thành phí phạt được ghi nhận.,"Báo cáo doanh thu hiển thị đủ ba nguồn thu là tiền phòng, dịch vụ phụ thu và các khoản phí giữ lại, và tổng khớp với dữ liệu khoản cọc đã quyết toán.","QTN-19, QTN-20, QTN-10",Bắt buộc,,"NCL-07-CN-002, NCL-11-CN-004, NCL-11-CN-006, NCL-11-CN-007",Thành viên hai,Chưa thực hiện,
79,NCL-04,Nhận phòng và trả phòng,NCL-04-CN-009,Trả phòng sớm và tính lại tiền phòng,"Là Lễ tân, tôi muốn cho khách trả phòng trước ngày dự kiến và tính lại tiền phòng theo số đêm thực ở, để thu đúng số tiền và bán lại được những đêm khách trả về.",Lễ tân,Thu đúng tiền theo số đêm thực tế và giải phóng ngay các đêm còn lại lên lịch phòng thay vì để phòng bị khóa oan tới hết kỳ đặt.,"Lễ tân chọn chức năng trả phòng sớm cho một đặt phòng đang lưu trú rồi nhập ngày trả phòng thực tế sớm hơn ngày dự kiến. Hệ thống tính lại tiền phòng theo số đêm thực ở với đúng giá mùa của từng đêm, hiển thị song song tiền phòng cũ, tiền phòng mới và phần chênh lệch, đồng thời áp phí trả phòng sớm nếu Chủ cơ sở đã cấu hình mức phí này trong chính sách. Dịch vụ phụ thu đã ghi nhận vẫn giữ nguyên và vẫn vào hóa đơn. Ngay khi lễ tân xác nhận, các đêm được trả lại phải quay về trạng thái trống trên lịch phòng để bán tiếp, và phòng chuyển sang trạng thái cần dọn theo QTN-05. Hệ thống từ chối nếu ngày trả phòng thực tế sớm hơn ngày nhận phòng hoặc muộn hơn ngày dự kiến, trường hợp muộn hơn thuộc chức năng gia hạn thêm đêm. Nếu hóa đơn đã được thanh toán đủ mà số tiền mới nhỏ hơn thì phần chênh phải xử lý bằng hóa đơn điều chỉnh theo QTN-11 chứ không sửa trực tiếp hóa đơn cũ. Nếu đặt phòng có cọc thì cọc vẫn được trừ vào hóa đơn theo đúng luồng hiện có.",Đặt phòng ở trạng thái đang lưu trú và ngày trả phòng thực tế nằm trong khoảng từ ngày nhận phòng đến trước ngày trả phòng dự kiến.,"Đặt phòng kết thúc sớm với tiền phòng tính theo số đêm thực ở, các đêm còn lại trở về trạng thái trống trên lịch phòng và phòng chuyển sang cần dọn.","QTN-03, QTN-04, QTN-05, QTN-11, QTN-28",Bắt buộc,,"NCL-04-CN-002, NCL-05-CN-002, NCL-10-CN-002",Thành viên một,Chưa thực hiện,
80,NCL-06,Quản lý dọn phòng,NCL-06-CN-005,Kiểm tra và duyệt phòng sạch trước khi đưa vào phục vụ,"Là Chủ cơ sở, tôi muốn bật thêm bước kiểm tra sau khi buồng phòng báo dọn xong, để phòng chỉ được đón khách mới khi đã có người xác nhận đạt yêu cầu.",Chủ cơ sở,"Giảm rủi ro khách nhận phòng chưa đạt, và cho chủ cơ sở dữ liệu để đánh giá chất lượng dọn phòng của từng nhân viên.","Chủ cơ sở bật hoặc tắt bước kiểm tra trong cấu hình cơ sở. Khi bật, phòng được nhân viên buồng phòng báo dọn xong sẽ chuyển sang trạng thái chờ kiểm tra thay vì chuyển thẳng sang sẵn sàng. Người có quyền kiểm tra mở phòng, đối chiếu danh mục hạng mục kiểm tra ngắn do cơ sở khai báo rồi chọn đạt hoặc không đạt. Nếu đạt thì phòng chuyển sang sẵn sàng và có thể nhận khách. Nếu không đạt thì bắt buộc nhập lý do, phòng quay lại trạng thái cần dọn và người đang phụ trách phòng đó nhận được thông báo nội bộ để làm lại. Khi tắt bước kiểm tra thì chu trình giữ nguyên như hiện tại, phòng dọn xong là sẵn sàng, để cơ sở quá nhỏ không bị thêm thao tác thừa. Phòng ở trạng thái chờ kiểm tra không được gán cho khách mới, giống như phòng đang cần dọn. Hệ thống lưu người kiểm tra, thời điểm, kết quả và lý do không đạt để phục vụ đánh giá chất lượng.","Phòng ở trạng thái cần dọn đã được nhân viên buồng phòng báo dọn xong, và Chủ cơ sở đã bật bước kiểm tra trong cấu hình cơ sở.","Phòng chỉ chuyển sang sẵn sàng sau khi có người xác nhận đạt, phòng không đạt quay lại cần dọn kèm lý do và thông báo tới người phụ trách.","QTN-05, QTN-09, QTN-10, QTN-29",Quan trọng,,"NCL-06-CN-002, NCL-06-CN-004, NCL-10-CN-001",Thành viên hai,Chưa thực hiện,
81,NCL-05,Dịch vụ phụ thu hóa đơn và thanh toán,NCL-05-CN-008,Chốt ca và đối soát tiền mặt thu trong ca,"Là Lễ tân, tôi muốn chốt ca bằng cách đối chiếu số tiền hệ thống ghi nhận với số tiền đếm được trong két, để bàn giao ca rõ ràng và phát hiện lệch tiền ngay trong ngày.",Lễ tân,"Khóa sổ tiền mặt theo từng ca giúp phát hiện lệch quỹ trong vòng vài giờ thay vì cuối tháng, và làm rõ trách nhiệm của từng người trực quầy.","Khi kết thúc ca, lễ tân mở màn hình chốt ca. Hệ thống tổng hợp mọi khoản tiền mà chính tài khoản đó ghi nhận từ lúc mở ca, gồm tiền thu hóa đơn, tiền cọc thu vào và tiền hoàn trả cho khách, tách riêng theo hình thức tiền mặt và chuyển khoản, rồi hiển thị số tiền mặt lý thuyết phải có trong két. Lễ tân nhập số tiền mặt đếm thực tế, hệ thống tính chênh lệch và nếu chênh lệch khác không thì bắt buộc nhập ghi chú giải thích trước khi cho chốt. Sau khi chốt, phiếu chốt ca được lưu và không sửa được, muốn điều chỉnh thì Chủ cơ sở phải mở lại kèm lý do và việc mở lại được ghi nhật ký. Một tài khoản không được có hai ca đang mở cùng lúc, và không cho chốt ca khi vẫn còn hóa đơn của ca đó đang chờ duyệt giảm giá hoặc chờ duyệt trả phòng còn nợ. Chủ cơ sở và Kế toán xem được toàn bộ phiếu chốt ca theo ngày kèm danh sách các ca có chênh lệch.",Người dùng có vai trò Lễ tân đang có một ca mở và đã ghi nhận ít nhất một giao dịch thu hoặc chi trong ca đó.,"Ca làm việc được chốt với số liệu lý thuyết, số đếm thực tế và phần chênh lệch có giải thích, phiếu chốt ca được lưu bất biến.","QTN-09, QTN-10, QTN-11, QTN-30",Quan trọng,,"NCL-05-CN-003, NCL-11-CN-002, NCL-01-CN-003",Thành viên ba,Chưa thực hiện,
82,NCL-03,Lịch phòng và đặt phòng chống trùng,NCL-03-CN-010,Tra cứu nhanh đặt phòng theo mã tên khách hoặc số điện thoại,"Là Lễ tân, tôi muốn tìm một đặt phòng theo mã đặt phòng, tên khách hoặc số điện thoại, để tìm ra hồ sơ trong vài giây khi khách gọi tới thay vì lật lịch phòng qua từng tháng.",Lễ tân,"Rút ngắn thời gian xử lý mỗi cuộc gọi của khách, nhất là với các đặt phòng nằm ngoài tháng đang hiển thị trên lịch phòng.","Lễ tân nhập từ khóa vào ô tìm kiếm ở khu vực đặt phòng. Hệ thống tìm đồng thời trên mã đặt phòng, tên khách và số điện thoại, cho phép khớp một phần chuỗi. Kết quả hiển thị mã đặt phòng, tên khách, ngày nhận, ngày trả, phòng đã gán, trạng thái đặt phòng và trạng thái thanh toán, sắp xếp theo ngày nhận phòng gần hiện tại nhất để đúng thứ tự lễ tân cần. Người dùng lọc thêm theo trạng thái đặt phòng và theo khoảng ngày. Từ khóa dưới ba ký tự thì hệ thống không thực hiện tìm và nhắc nhập thêm, tránh trả về toàn bộ dữ liệu. Kết quả áp đúng quy tắc che thông tin cá nhân theo vai trò, số giấy tờ tùy thân không hiển thị trên danh sách kết quả. Khi không có kết quả nào, hệ thống báo rõ không tìm thấy và gợi ý thử số điện thoại. Bấm vào một dòng thì mở thẳng hồ sơ đặt phòng tương ứng.",Người dùng đã đăng nhập với vai trò được xem đặt phòng và trong hệ thống đã có dữ liệu đặt phòng.,Lễ tân tìm được đúng đặt phòng cần xử lý từ một từ khóa và mở thẳng được sang hồ sơ đặt phòng.,"QTN-09, QTN-24, QTN-10",Quan trọng,,"NCL-03-CN-002, NCL-04-CN-004, NCL-12-CN-004",Thành viên hai,Chưa thực hiện,
83,NCL-04,Nhận phòng và trả phòng,NCL-04-CN-010,Trả phòng khi còn nợ với phê duyệt của Chủ cơ sở,"Là Lễ tân, tôi muốn trả phòng cho khách còn nợ tiền khi được Chủ cơ sở phê duyệt, để không giữ khách công ty hay khách quen lại quầy trong khi khoản nợ vẫn được theo dõi đến lúc thu đủ.",Lễ tân,"Mở một ngoại lệ có kiểm soát cho quy tắc chặn trả phòng khi chưa thu đủ, đồng thời tạo nơi theo dõi công nợ để khoản tiền không biến mất khỏi sổ sách.","Quy tắc QTN-04 hiện chặn cứng việc trả phòng khi hóa đơn chưa thanh toán đủ. Bổ sung một ngoại lệ có kiểm soát, trong đó lễ tân chọn trả phòng còn nợ, nhập số tiền còn nợ, lý do và hạn thu dự kiến, rồi gửi yêu cầu cho Chủ cơ sở duyệt. Chỉ khi được duyệt thì đặt phòng mới chuyển sang đã trả phòng và phòng chuyển sang cần dọn, còn hóa đơn giữ nguyên trạng thái còn nợ thay vì chuyển sang đã thanh toán. Khoản nợ xuất hiện trong danh sách công nợ kèm tên khách, số tiền, hạn thu và số ngày quá hạn, sắp xếp theo mức quá hạn giảm dần. Khi khách trả nốt, kế toán ghi nhận thanh toán theo luồng hiện có và hóa đơn tự đóng lại, khoản nợ rời khỏi danh sách. Không áp dụng ngoại lệ này cho khách vãng lai chưa có hồ sơ khách, vì không có cách liên hệ để thu hồi. Báo cáo doanh thu phải phân biệt được phần đã thu và phần còn nợ để không thổi phồng dòng tiền. Mọi lần đề nghị, duyệt và từ chối đều được ghi nhật ký.","Đặt phòng ở trạng thái đang lưu trú, hóa đơn đã được lập nhưng chưa thu đủ, và khách đã có hồ sơ khách trong hệ thống.","Khách rời cơ sở, phòng vào chu trình dọn, hóa đơn ở trạng thái còn nợ và khoản nợ nằm trong danh sách công nợ chờ thu.","QTN-04, QTN-09, QTN-10, QTN-31",Nên có,,"NCL-04-CN-002, NCL-05-CN-003, NCL-01-CN-003",Thành viên bốn,Chưa thực hiện,
84,NCL-01,Đăng nhập và phân quyền,NCL-01-CN-005,Đặt lại mật khẩu khi người dùng quên,"Là Lễ tân, tôi muốn được cấp lại mật khẩu khi quên, để quay lại làm việc trong vài phút thay vì phải chờ người khác đăng nhập hộ bằng tài khoản của họ.",Lễ tân,"Ngăn thói quen dùng chung tài khoản khi một người quên mật khẩu, vốn làm hỏng toàn bộ giá trị của nhật ký hoạt động và phân quyền theo vai trò.","Người dùng không đăng nhập được chọn chức năng quên mật khẩu và nhập tên đăng nhập. Hệ thống không tự đặt lại mật khẩu mà tạo một yêu cầu cấp lại gửi tới Quản trị viên, phù hợp với cơ sở nhỏ không có hạ tầng thư điện tử riêng. Quản trị viên xem danh sách yêu cầu, xác minh với người đề nghị rồi cấp một mật khẩu tạm dùng một lần. Người dùng đăng nhập bằng mật khẩu tạm và bị buộc đổi mật khẩu mới ngay trước khi vào được bất kỳ màn hình nghiệp vụ nào. Mật khẩu tạm hết hiệu lực sau hai mươi bốn giờ hoặc ngay khi đã dùng một lần. Màn hình quên mật khẩu không tiết lộ tên đăng nhập có tồn tại hay không, luôn báo chung một thông điệp đã ghi nhận yêu cầu. Mọi lần yêu cầu, cấp lại và đổi mật khẩu đều ghi nhật ký kèm người thao tác và thời điểm.","Tài khoản tồn tại trong hệ thống và đang ở trạng thái hoạt động, có ít nhất một Quản trị viên đang hoạt động.","Người dùng đăng nhập lại được bằng mật khẩu do chính mình đặt, mật khẩu tạm hết hiệu lực và nhật ký lưu vết toàn bộ quá trình.","QTN-09, QTN-10",Quan trọng,,"NCL-01-CN-001, NCL-01-CN-002",Thành viên bốn,Chưa thực hiện,
85,NCL-05,Dịch vụ phụ thu hóa đơn và thanh toán,NCL-05-CN-009,In và gửi hóa đơn cho khách,"Là Lễ tân, tôi muốn in hoặc kết xuất hóa đơn để đưa cho khách khi trả phòng, để khách có chứng từ mang về thay vì chỉ nhìn màn hình của lễ tân.",Lễ tân,"Hoàn tất khâu cuối của luồng thanh toán. Hiện hệ thống lập được hóa đơn nhưng không có cách nào đưa hóa đơn tới tay khách, nên lễ tân vẫn phải viết tay.","Từ một hóa đơn đã lập, lễ tân chọn in hoặc kết xuất ra tệp. Bản in lấy thông tin cơ sở gồm tên, địa chỉ và mã số thuế từ cấu hình cơ sở, kèm mã hóa đơn, thông tin khách, số đêm lưu trú, chi tiết tiền phòng theo từng đêm, danh sách dịch vụ phụ thu, khoản giảm giá kèm lý do, tiền cọc đã trừ, tổng phải trả, số đã thu và số còn lại. Hóa đơn còn ở trạng thái nháp thì bản in phải có dấu hiệu tạm tính rõ ràng để không bị nhầm là chứng từ chính thức. Với hóa đơn điều chỉnh, bản in phải nêu mã hóa đơn gốc và lý do điều chỉnh. Số giấy tờ tùy thân của khách không được in trên hóa đơn. Mỗi lần in hoặc kết xuất đều ghi nhật ký để biết ai đã lấy bản in nào và lúc nào. Đây là chức năng kết xuất chứng từ nội bộ, không phải hóa đơn điện tử có mã cơ quan thuế.",Hóa đơn đã được lập cho một đặt phòng và cơ sở đã khai báo đủ thông tin trong cấu hình cơ sở.,"Khách nhận được bản hóa đơn thể hiện đầy đủ tiền phòng, phụ thu, giảm giá và phần đã thanh toán, và hệ thống lưu vết lần in.","QTN-11, QTN-12, QTN-24, QTN-10",Bắt buộc,,"NCL-05-CN-002, NCL-10-CN-001",Thành viên ba,Chưa thực hiện,
86,NCL-04,Nhận phòng và trả phòng,NCL-04-CN-011,Ghi nhận danh sách khách ở cùng phòng,"Là Lễ tân, tôi muốn khai báo đủ những người cùng ở trong một phòng chứ không chỉ người đứng tên đặt phòng, để danh sách khai báo lưu trú phản ánh đúng số người thực tế đang ở cơ sở.",Lễ tân,Nghĩa vụ thông báo lưu trú áp cho mọi người lưu trú chứ không chỉ người đặt phòng. Thiếu chức năng này thì bản khai báo kết xuất ra sẽ thiếu người và cơ sở vẫn có rủi ro bị xử phạt.,"Khi nhận phòng, ngoài người đứng tên đặt phòng, lễ tân thêm từng người cùng ở với họ tên, năm sinh, loại giấy tờ và số giấy tờ. Hệ thống kiểm tra tổng số người không vượt sức chứa tối đa của phòng, nếu vượt thì từ chối và gợi ý ghi nhận phụ thu thêm người hoặc chuyển sang phòng lớn hơn. Trẻ em dưới độ tuổi do cơ sở cấu hình được ghi nhận nhưng không tính vào phần phụ thu thêm người. Danh sách khách cùng phòng được đưa nguyên vào danh sách khai báo lưu trú của ngày và chịu đúng quy tắc che dữ liệu cá nhân theo vai trò. Trong thời gian lưu trú, lễ tân được thêm hoặc bớt người khi có thay đổi, mỗi lần đều ghi nhật ký. Khi trả phòng, toàn bộ danh sách được đóng lại và giữ trong lịch sử lưu trú của đặt phòng. Không cho xóa một người đã nằm trong bản khai báo đã kết xuất, chỉ được đánh dấu rời sớm kèm thời điểm.",Đặt phòng đã ở trạng thái đã nhận phòng và loại phòng đã khai báo sức chứa tối đa.,"Mỗi phòng đang có khách đều có danh sách đầy đủ người lưu trú, và danh sách khai báo lưu trú theo ngày đếm đúng số người.","QTN-02, QTN-23, QTN-24, QTN-32",Bắt buộc,,"NCL-04-CN-001, NCL-04-CN-004, NCL-12-CN-001, NCL-02-CN-005",Thành viên bốn,Chưa thực hiện,
87,NCL-01,Đăng nhập và phân quyền,NCL-01-CN-006,Cấp quyền xem bổ sung cho từng tài khoản,"Là Quản trị viên, tôi muốn cấp thêm một vài quyền xem cho một tài khoản cụ thể ngoài quyền mặc định của vai trò, để đáp ứng các trường hợp như lễ tân trưởng cần xem báo cáo doanh thu mà không phải nâng người đó lên vai trò Chủ cơ sở.",Quản trị viên,"Sheet User Roles đã ghi Lễ tân không xem báo cáo doanh thu tổng hợp trừ khi được cho phép, nhưng hiện không có bất kỳ cách nào để cho phép. Story này lấp đúng chỗ trống đó mà không phải nới lỏng vai trò cho tất cả mọi người.","Quản trị viên mở một tài khoản rồi bật thêm quyền từ một danh sách quyền xem có kiểm soát, ví dụ xem báo cáo doanh thu, xem báo cáo công suất, xem danh sách khoản cọc. Danh sách này chỉ gồm quyền xem. Các quyền phê duyệt liên quan tới tiền như duyệt giảm giá vượt ngưỡng hay duyệt trả phòng còn nợ tuyệt đối không được ủy quyền, vì đó là điểm kiểm soát cuối cùng của Chủ cơ sở. Mỗi quyền bổ sung có thể đặt ngày hết hiệu lực và tự thu hồi khi tới hạn, hoặc Quản trị viên thu hồi bất cứ lúc nào. Màn hình hiển thị rõ quyền nào đến từ vai trò và quyền nào là bổ sung riêng, để không ai nhầm giữa hai nguồn. Khi vai trò của tài khoản bị đổi, mọi quyền bổ sung cũ phải bị thu hồi để tránh tích tụ quyền. Mỗi lần cấp, sửa hạn và thu hồi đều ghi nhật ký kèm người thao tác và lý do.","Tài khoản đã tồn tại và đang hoạt động, và cấu hình vai trò theo NCL-01-CN-003 đã chạy.","Tài khoản được chỉ định truy cập được đúng những màn hình xem đã cấp thêm, có thời hạn rõ ràng, và nhật ký lưu vết ai đã cấp quyền cho ai.","QTN-09, QTN-10, QTN-34",Quan trọng,,"NCL-01-CN-003, NCL-01-CN-002",Thành viên bốn,Chưa thực hiện,
88,NCL-02,Quản lý phòng loại phòng và giá,NCL-02-CN-005,Cấu hình sức chứa phòng và phụ thu thêm người,"Là Chủ cơ sở, tôi muốn khai báo sức chứa tiêu chuẩn và sức chứa tối đa cho từng loại phòng kèm mức phụ thu thêm người, để hệ thống tự tính tiền khi khách ở đông hơn tiêu chuẩn thay vì lễ tân nhớ bằng miệng.",Chủ cơ sở,"Ở homestay, việc khách ở thêm người là chuyện thường ngày và cũng là nguồn thất thu phổ biến nhất khi quản lý thủ công. Đây cũng là dữ liệu nền để kiểm soát danh sách khách ở cùng phòng.","Chủ cơ sở khai báo cho từng loại phòng số người tiêu chuẩn, số người tối đa, mức phụ thu cho mỗi người vượt tiêu chuẩn tính theo đêm, và độ tuổi tối đa được coi là trẻ em không tính phụ thu. Sức chứa tối đa không được nhỏ hơn sức chứa tiêu chuẩn, và mức phụ thu không được là số âm. Khi lễ tân tạo đặt phòng hoặc nhận phòng và nhập số khách vượt sức chứa tiêu chuẩn, hệ thống tự sinh dòng phụ thu thêm người theo số người vượt nhân số đêm nhân mức phụ thu, hiển thị thành một dòng riêng để lễ tân giải thích được với khách. Vượt sức chứa tối đa thì hệ thống từ chối và gợi ý loại phòng lớn hơn. Việc sửa cấu hình chỉ ảnh hưởng tới các đặt phòng tạo sau đó, không hồi tố các đặt phòng đã tính tiền. Mọi thay đổi cấu hình đều ghi nhật ký.",Loại phòng đã tồn tại trong hệ thống và người thao tác là Chủ cơ sở.,"Mỗi loại phòng có sức chứa và mức phụ thu rõ ràng, và các đặt phòng vượt sức chứa tiêu chuẩn được tự động tính thêm tiền.","QTN-03, QTN-12, QTN-32",Quan trọng,,"NCL-02-CN-001, NCL-02-CN-004",Thành viên một,Chưa thực hiện,
89,NCL-06,Quản lý dọn phòng,NCL-06-CN-006,Buồng phòng báo sự cố phòng khi dọn,"Là Nhân viên buồng phòng, tôi muốn báo ngay sự cố phát hiện lúc dọn phòng, để phòng hỏng không bị bán cho khách kế tiếp trong khi chưa ai biết là hỏng.",Nhân viên buồng phòng,"Rút ngắn quãng đường từ lúc phát hiện hỏng tới lúc phòng bị khóa bảo trì, vốn hiện phải đi qua lời nhắn miệng giữa buồng phòng và lễ tân.","Trong lúc cập nhật trạng thái dọn phòng, nhân viên buồng phòng chọn báo sự cố, nhập mô tả ngắn và mức độ gồm nhẹ, nặng hoặc không thể phục vụ. Với mức nhẹ, phòng vẫn được đưa về sẵn sàng nhưng mang một dấu hiệu có sự cố chờ xử lý để Chủ cơ sở nhìn thấy. Với mức nặng hoặc không thể phục vụ, phòng không được đưa về sẵn sàng mà chuyển thẳng sang chờ xác nhận bảo trì, và Chủ cơ sở nhận thông báo nội bộ để quyết định khóa phòng bảo trì theo chức năng đã có. Nếu phòng đang có đặt phòng sắp tới trong khoảng thời gian bị ảnh hưởng, hệ thống phải cảnh báo rõ có bao nhiêu đặt phòng bị ảnh hưởng để lễ tân chủ động đổi phòng cho khách. Một phòng có thể có nhiều báo cáo sự cố đang mở, mỗi báo cáo đóng lại khi Chủ cơ sở đánh dấu đã xử lý kèm ghi chú. Toàn bộ vòng đời của báo cáo sự cố được ghi nhật ký.",Phòng đang ở trạng thái cần dọn hoặc chờ kiểm tra và người thao tác là Nhân viên buồng phòng phụ trách phòng đó.,"Sự cố được ghi nhận kèm mức độ, phòng nặng không lọt vào vòng phục vụ, và Chủ cơ sở nhận được thông báo cùng danh sách đặt phòng bị ảnh hưởng.","QTN-01, QTN-05, QTN-10",Quan trọng,,"NCL-06-CN-002, NCL-06-CN-003",Thành viên hai,Chưa thực hiện,
